Survey ID,Product Name,Print Customer Region,LTR,Source Type,Survey language,Review Source,Star Rating,Product Family,Supplies Family,Printer Family,Model Name,Combined Text,Ink Supply Type,token_count,Response Date,Month of Response Date,predicted_level1,TextBlob_Sentiment,TextBlob_NaiveBayes_Sentiment,NLTK_Vader_Sentiment,Sentiment_Label_TB,Sentiment_Label_TB_NB,Sentiment_Label_VADER,True_Label,Predicted_Label_NB
376873459,HP DeskJet 2742e All-in-One Printer,US,2,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2742e All-in-One Printer,This printer came with 6 months free ink and something I've never gotten.  Called customer service no help at.  It would not to connect to my Samsung phone but has on my pixel.  But I'm out of ink and can't use printer.  Will probably buy a canon to replace as a new printer is cheaper than ink,IPH,57,03-04-24 4:33,01-04-24 0:00,"Instant Ink related, Customer experience & expectation, Logistic Handling, Printer Hardware/Printing issues, Cartridge Problem",0.268181818,pos,0.34,Positive,Positive,Positive,Negative,Negative
384206544,HP 67XL High Yield Black/67 Tri-color 2-pack Original Ink Cartridges,US,10,Web Reviews,English,Amazon US,5,Supplies - Ink,Obelisk,,HP 67XL High Yield Black/67 Tri-color 2-pack Original Ink Cartridges,"Just what I wanted, fat delivery",IPH,6,20-04-24 1:00,01-04-24 0:00,Logistic Handling,0,neg,0,Neutral,Negative,Neutral,Positive,Positive
378562996,HP 61 Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Amazon US,5,Supplies - Ink,Pyramid Refresh,,HP 61 Tri-color Original Ink Cartridge,Like the HP ink products. Tried another product once and I'll never do that again!,IPH,15,04-04-24 1:00,01-04-24 0:00,Others,0,neg,0.4199,Neutral,Negative,Positive,Positive,Positive
388011821,HP 62 Black Original Ink Cartridge,US,2,Web Reviews,English,Amazon US,1,Supplies - Ink,Minotaur,,HP 62 Black Original Ink Cartridge,"Never had this happen before, but there was no ink in the Cartlidge.",IPH,13,30-04-24 1:00,01-04-24 0:00,Others,0,pos,-0.4215,Neutral,Positive,Negative,Negative,Negative
377516372,HP DeskJet Ink Advantage Ultra 4825 Printer,CN,6,HPS Surveys,Chinese (China),,,Supplies - Ink,Obelisk,Taccola,HP DeskJet Ultra Ink Advantage 4825 Printer,"Printing is a bit slow, the ink is a bit blurry, and it is easy to get blurred if you scratch it with your fingernail.",IPH,25,08-04-24 19:08,01-04-24 0:00,Others,0.066666667,pos,0.3612,Positive,Positive,Positive,Neutral,Neutral
388518461,HP 305XL High Yield Tri-color Original Ink Cartridge,IT,6,Web Reviews,Italian,Amazon IT,3,Supplies - Ink,Obelisk,,HP 305XL High Yield Tri-color Original Ink Cartridge,Purtroppo ha una durata troppo breve rispetto al costo piuttosto alto!,IPH,11,29-04-24 1:00,01-04-24 0:00,Others,0,pos,0.4003,Neutral,Positive,Positive,Neutral,Neutral
383570909,HP 564XL High Yield Black/564 Cyan/Magenta/Yellow 4-pack Original Ink Cartridges,US,6,Web Reviews,English,Amazon US,3,Supplies - Ink,Rohan,,HP 564XL High Yield Black/564 Cyan/Magenta/Yellow 4-pack Original Ink Cartridges,printing,IIC,1,11-04-24 1:00,01-04-24 0:00,General satisfied,0,neg,0,Neutral,Negative,Neutral,Neutral,Positive
375993688,HP OfficeJet Pro 8022e All-in-One Printer,PT,3,HPS Surveys,English,,,Supplies - Ink,Cedella ,Malbec Yeti,HP OfficeJet Pro 8022e All-in-One Printer,"Many times offline, cartridges go empty very fast even in eco mode, mis alignement in scan mode, etc etc etc",IIC,20,03-04-24 3:01,01-04-24 0:00,Others,0.22,neg,-0.3182,Positive,Negative,Negative,Negative,Negative
385215377,HP DeskJet 4155e All-in-One Printer,US,0,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 4155e All-in-One Printer,"Hp QC is lacking....purchased the printer and had nothing but problems so i junked it and picked up a Emerson.Emerson works flawlessly and the ink is way less expensive 

HP is so on its way out like blockbuster...",IPH,38,28-04-24 10:55,01-04-24 0:00,Cost,0.111111111,pos,0.8093,Positive,Positive,Positive,Negative,Negative
377495694,HP 63 Black Original Ink Cartridge,US,2,Web Reviews,English,Amazon US,1,Supplies - Ink,Dolmen Refresh,,HP 63 Black Original Ink Cartridge,"Coffee tastes good, but the top foil comes off the cup when in the coffee machine and grounds end up in cup.",IPH,22,01-04-24 1:00,01-04-24 0:00,Others,0.6,neg,0.4854,Positive,Negative,Positive,Negative,Negative
